Version,College Name,Location,Date,No of Participants Attended,No of Sessions,Session Duration,Usage
offline,Workshop on Virtual Labs,Dewan VS Group of Institutions,2014-11-28,185,2,01:00,185
online,Workshop on Virtual Labs,Hindu Institute of Technology,2015-01-28,200,2,01:00,271
online,Workshop on Virtual Labs,PM College of Engineering,2015-02-09,216,3,01:00,272
online,Workshop on Virtual Labs,JKP Polytechnic Rattangarh Sonepat,2015-02-10,271,4,01:00,292
online,Workshop on Virtual Labs,Noida Institute of Engineering and Technology,2015-02-12,575,5,01:00,6000
online,Virtual Labs,Tagore Institute of Research and Technology Jamalpur Gurgaon,2015-02-13,130,2,01:00,166
online,Virtual Labs,Ram Eesh Institute of Engineering and Technology Greater Noida,2015-02-18,150,2,01:00,191
online,Virtual Labs,Krishna Institute of Engineering and Technology,2015-02-20,200,3,01:00,2700
online,Virtual Labs,Gurgaon Institute of Technology and Management Bilaspur Gurgaon,2015-02-25,113,2,01:00,146
online,Virtual Labs,Asra College of Engineering and Technology,2015-02-27,138,2,01:00,138
online,Virtual Labs,IIMT College of Engineering,2015-03-14,133,3,01:00,3000
online,Virtual Labs,Panipat Institute of Engineering and Technology,2015-03-12,207,3,01:00,207
online,Virtual Labs,Maharaja Agarsain Institute of Technology,2015-03-20,174,2,01:00,1200
online,Virtual Labs,Indore Institute of Science and Technology,2015-03-26,125,2,01:00,600
online,Virtual Labs,Indore Institute of Science and Technology,2015-03-27,103,2,01:00,600
online,Virtual Labs,Dronacharya College of Engineering,2015-04-08,48,1,01:00,584
online,Virtual Labs,Dronacharya Group of Institutions,2015-04-10,183,2,01:00,6000
online,Virtual Labs,Ganga Institute Of Technology and Management,2015-04-15,65,1,01:00,7500
online,Virtual Labs,Mangalmay Institute of Technology,2015-04-16,76,1,01:00,1212
online,Virtual Labs,The Northcap University,2015-04-17,155,2,01:00,525
online,Virtual Labs,Krishna Institute of Engineering and Technology,2015-07-31,70,2,01:00,2500
online,Virtual Labs,Mahatma Gandhi Mission College,2015-08-13,305,4,01:00,305
online,Virtual Labs,Asia Pacific Institute of Information technology,2015-08-20,197,3,01:00,900
online,Virtual Labs,Dronacharya Group of Institutions,2015-08-24,139,3,01:00,2424
online,Virtual Labs,IIMT College of Engineering,2015-08-25,372,4,01:00,1710
online,Virtual Labs,"Seth Jai Parkash Mukand Lal Institute Of Engineering And Technology, Radaur",2015-08-28,453,4,01:00,1752
online,Virtual Labs,Dronacharya Group of Institutions,2015-08-31,67,2,01:00,67
online,Virtual Labs,"CT Institute of Engineering, Management and Technology, jalandhar",2015-09-03,582,4,01:00,9000
online,Virtual Labs,"CT Institute of Engineering, Management and Technology, jalandhar",2015-09-04,232,3,01:00,500
online,Virtual Labs,Indore Institute of Science and Technology,2015-09-09,424,4,01:00,3000
online,Virtual Labs,Indore Institute of Science and Technology,2015-09-10,120,2,01:00,120
online,Virtual Labs,Noida Institute of Engineering and Technology,2015-09-14,276,3,01:00,3060
online,Virtual Labs,Modern Institute of Technology and Research Centre,2015-09-15,110,2,01:00,2560
online,Virtual Labs,"ABES Engineering College, Ghaziabad",2015-09-18,234,3,01:00,1165
online,Virtual Labs,MM Engineering College,2015-09-24,72,2,01:00,1250
online,Virtual Labs,Noida International University,2015-09-24,141,2,01:00,3200
online,Virtual Labs,Desh Bhagat University,2015-09-29,238,3,01:00,238
online,Virtual Labs,Shriram College of Engineering and Managament,2015-10-06,108,2,01:00,1825
online,Virtual Labs,University of Petroleum and Energy Studies,2015-10-09,692,5,01:00,5730
online,Virtual Labs,Uttaranchal Institute of Technology,2015-10-10,128,2,01:00,128
online,Virtual Labs,Hi Tech Engineering and Technology,2015-10-14,177,2,01:00,177
online,Virtual Labs,Dronacharya College of Engineering,2015-11-04,55,1,01:00,240
online,Virtual Labs,Ganga Institute Of Technology and Management,2016-02-09,77,1,01:00,77
online,Virtual Labs,Apex Institute of Engineering and Technology,2016-02-12,204,3,01:00,204
online,Virtual Labs,Noida Institute of Engineering and Technology,2016-02-12,326,3,01:00,326
online,Virtual Labs,United College of Engineering and Research,2016-02-25,134,2,01:00,624
online,Virtual Labs,Dronacharya College of Engineering,2016-02-29,100,2,01:00,19940
online,Virtual Labs,Asia Pacific Institute of Information technology,2016-03-01,174,2,01:00,692
