Version,College Name,Location,Date,No of Participants Attended,No of Sessions,Session Duration,Usage
offline,IIT Kanpur,"Creative Convent Inter, College Lucknow",2016-09-15,37,1,02:00,370
offline,IIT Kanpur,"Shri Ramswaroop Memorial University, Lucknow",2016-10-08,76,1,02:00,760
offline,IIT Kanpur,MPEC Kanpur,2016-08-08,164,2,01:40,3116
online,Analog Signals Network and Measurement Virtual Laboratory,"Sardar Vallabhai National Institute of Technology, Surat, Gujarat",2015-01-30,NULL,1,02:00,NULL
online,Virtual Lab Workshop,"Government Engineering College, Kannur, Kerala, India",2013-11-06,85,7,01:00,28
online,Virtual Lab Workshop in a FDP,"Government Engineering College, Trivandrum, Kerala, India",2013-11-25,60,7,01:00,36
online,Virtual Lab Workshop,"Alvas Institute of Engineering and Technology, Moodbidri, Karnataka, India",2014-02-18,142,7,01:00,14
online,Virtual Lab Workshop,"BMS Institute of Technology, Bangalore, Karnataka, India",2014-05-07,96,7,01:00,20
online,Virtual Lab Workshop,"NMAM Institute of Technology, Nitte, Karnataka, India",2014-05-05,70,7,01:00,30
online,Virtual Lab Workshop,"Government Engineering College, Trivandrum, Kerala, India",2015-11-25,66,7,01:00,30
online,Virtual Lab Workshop,"Indian Institute of Space Sciences, Trivandrum, Kerala, India",2015-11-26,68,7,01:00,21
online,Virtual Lab Workshop,"BVB College of Engineering and Technology, Hubli, Karnataka, India",2014-04-21,81,7,01:00,25
online,Virtual Lab Workshop,"KVG College of Engineering, Sullia, Karnataka, India",2014-04-26,53,7,01:00,35
online,Virtual Lab Workshop,"ICSCIN MIT, Manipal, Karnataka, India",2014-08-11,71,7,01:00,24
online,Virtual Lab Workshop in a FDP,"NITK Surathkal, Mangalore, Karnataka, India",2015-01-16,66,7,01:00,30
online,Virtual Lab Workshop,"Mangalore Institute of Technology and Engineering, Moodbidri, Karnataka, India",2015-07-02,126,7,01:00,18
online,Virtual Lab Workshop,"College of Engineering, Thalaserry, Kerala, India",2015-06-03,63,7,01:00,28
online,Virtual Lab Workshop,"Federal Institute of Science and Technology, Angamaly, Kerala, India",2015-06-03,47,7,01:00,36
online,Virtual Lab Workshop,"NSS College of Engineering, Palghat, Kerala, India",2015-06-17,62,7,01:00,27
online,Virtual Lab Workshop,"Anjuman Institute of Technology and Management, Bhatkal, Karnataka, India",2015-04-23,67,7,01:00,31
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2015-08-01,40,7,01:00,33
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2015-10-01,51,7,01:00,32
online,Virtual Lab Workshop,"Manipal Institute of Technology, Manipal, Karnataka, India",2015-10-03,66,7,01:00,28
online,Virtual Lab Workshop,"NIT Agartala, Tripura, India",2015-10-09,295,7,01:00,15
online,Virtual Lab Workshop,"Srinivas Institute of Technology, Mangalore, Karnataka, India",2015-10-30,33,7,01:00,29
online,Virtual Lab Demo for Carrier Guidance,"Expert Career Guidance, Mangalore, Karnataka, India",2015-11-15,1368,7,01:00,12
online,Workshop on Virtual Labs,"Army Institute of Technology,Dighi",2016-06-25,41,2,01:00,205
online,Workshop on Virtual Labs,"G H Raisoni Institute of Engg and Tech, Pune",2016-08-08,30,4,01:30,150
online,Workshop on Virtual Labs,"G H Raisoni College of Engg and Mgmt,Pune",2016-08-08,30,4,01:30,120
online,Workshop on Virtual Labs,College of Engg Pune,2016-08-22,15,4,01:30,75
online,Workshop on Virtual Labs,"College of Engg, Pune",2017-05-18,26,2,01:30,185
online,Analog Signals Network and Measurement Virtual Laboratory,"DAYALBAGH EDUCATIONAL INSTITUTE, AGRA",2015-11-20,100,1,02:00,14
online,Workshop on Virtual Labs,"College of Engg, Pune",2017-03-16,20,1,03:00,100
online,Workshop on Virtual Labs,"College of Engg, Pune",2016-08-22,10,1,03:00,50
online,Analog Signals Network and Measurement Virtual Lab,KHARAGPUR,2014-01-07,38,1,02:00,14
online,Analog Signals Network and Measurement Virtual Laboratory,"G H RAISONI COLLEGE OF ENGINEERING, NAGPUR, MAHARASHTRA,INDIA",2015-09-05,88,2,02:00,14
online,Analog Signals Network and Measurement Virtual Laboratory,"MUZAFFARPUR INSTITUTE OF TECHNOLOGY, BIHAR, INDIA",2016-04-29,73,1,02:00,14
online,Analog Signals Network and Measurement Virtual Laboratory,"VISWESWARAYA NATIONAL INSTITUTE OF TECHNOLOGY, NAGPUR, MAHARASHTRA, INDIA",2012-11-05,25,1,02:00,14
online,Plant Metabolic Pathways Virtual Laboratory,"IIT BBS,Mohanpur, Nadia, West Bengal",2014-05-21,NULL,1,02:00,NULL
online,Analog Signals Network and Measurement Virtual Laboratory,"NATIONAL INSTITUTE OF TECHNOLOGY, RAIPUR, CHATTISGARH, INDIA",2012-11-26,23,1,02:00,14
online,Analog Signals Network and Measurement Virtual Laboratory,NATIONAL INSTITUTE OF TECHNOLOGY ROURKELA,2015-12-19,NULL,1,02:00,NULL
online,Robotics Simulation Laboratory,"SVEC,Tadepalligudem, Andhra Pradesh",2016-06-02,48,1,02:00,12
online,Analog Signals Network and Measurement Virtual Laboratory,NATIONAL INSTITUTE OF TECHNOLOGY ROURKELA,2015-12-19,NULL,1,02:00,NULL
online,Virtual Lab Workshop in a FDP,"College of Engineering, Cherthala, Kerala, India",2015-12-29,70,7,01:00,21
online,Virtual Lab Workshop,"MNIT, Jaipur, Rajasthan, India",2016-01-12,44,7,01:00,28
online,Analog Signals Network and Measurement Virtual Laboratory,"Sardar Vallabhai National Institute of Technology, Surat, Gujarat",2015-01-30,48,1,02:00,14
online,Virtual Lab Workshop,"Manipal University, Jaipur, Rajasthan, India",2016-01-13,94,7,01:00,14
online,Virtual Lab Workshop,"NIT, Uttarakhand, India",2016-01-04,133,7,01:00,15
online,Virtual Lab Workshop,"IMTEX Exhibition, Bangalore, Karnataka, India",2016-01-25,2000,42,01:00,20
online,Virtual Lab Workshop,"MIT, Manipal, Karnataka, India",2016-01-28,96,7,01:00,20
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-02-11,16,7,01:00,29
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-02-11,19,7,01:00,23
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-02-11,17,7,01:00,27
online,Analog Signals Network and Measurement Virtual Laboratory,VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY BURLA SAMBALPUR ODISHA,2016-02-08,29,1,02:00,14
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-02-16,51,7,01:00,21
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-02-25,48,7,01:00,30
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-01-03,41,7,01:00,27
online,Virtual Lab Workshop,"Karunya University, Coimbatore, Tamilnadu, India",2016-02-20,133,7,01:00,14
online,Virtual Lab Workshop,"Nagarjuna College of Engineering, Bangalore, Karnataka, India",2016-03-10,123,7,01:00,14
online,Virtual Lab Workshop,"National Institute of Engineering, Mysore, Karnataka, India",2016-03-11,56,7,01:00,22
online,Analog Signals Network and Measurement Virtual Laboratory,VYAS INSTITUTE OF ENGINEERING AND TECHNOLOGY JODHPUR RAJASTHAN,2014-06-26,28,1,02:00,14
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-03-18,48,7,01:00,912
online,Robotics Simulation Laboratory,"MITS,Kadiri Road, Angallu Village, Chittoor District, Madanapalle, Andhra Pradesh",2016-08-20,60,1,02:00,10
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-03-29,47,7,01:00,19
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-06-03,174,7,01:00,15
online,Robotics Simulation Laboratory,"MITS,Kadiri Road, Angallu Village, Chittoor District, Madanapalle, Andhra Pradesh",2016-08-20,NULL,1,02:00,NULL
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-06-30,55,7,01:00,28
online,Virtual Lab Workshop,"College of Engineering, Thalaserry, Kerala, India",2016-07-15,83,7,01:00,23
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-08-13,34,7,01:00,1054
online,Virtual Lab Workshop,"Srinivas School of Engineering, Mukka, Karnataka, India",2016-07-15,66,7,01:00,1452
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-08-20,32,7,01:00,33
online,Virtual Lab Workshop,"LBS Engineering College, Kasaragod, Kerala, India",2016-08-22,110,7,01:00,20
online,Virtual Lab Workshop,"Canara Engineering College, Mangalore, Karnataka, India",2016-08-23,187,7,01:00,12
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-08-25,42,4,01:00,26
online,Virtual Lab Workshop,"Moodlakatte Institute of Technology, Kundapura, Karnataka, India",2016-09-15,87,7,01:00,23
online,Virtual Lab Workshop,"Yenapoya Institute of Technology, Moodbidri, Karnataka, India",2016-09-16,129,7,01:00,16
online,Virtual Lab Workshop,"NITK Surathkal, Mangalore, Karnataka, India",2016-09-27,102,4,01:00,13
online,ADVANCED NETWORK TECHNOLOGY,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA WESTBENGAL INDIA,2016-10-05,79,1,01:00,10
online,Virtual Lab Workshop,"Moodlakatte Institute of Technology, Kundapura, Karnataka, India",2016-09-30,44,7,01:00,20
online,Virtual Lab Workshop,"The Mangalore Institute of Technology and Engineering, Moodbidri, Karnataka, India",2013-10-21,60,7,01:00,16
online,SOFTWARE ENGINEERING,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA WESTBENGAL INDIA,2016-10-05,79,1,01:00,10
online,Analog Signals Network and Measurement Virtual Laboratory,NATIONAL INSTITUTE OF TECHNOLOGY ROURKELA ODISHA,2015-12-19,NULL,1,02:00,NULL
online,Analog Signals Network and Measurement Virtual Laboratory,NATIONAL INSTITUTE OF TECHNOLOGY ROURKELA ODISHA INDIA,2015-12-19,NULL,1,02:00,NULL
online,Analog Signals Network and Measurement Virtual Laboratory,NATIONAL INSTITUTE OF TECHNOLOGY ROURKELA ODISHA,2015-12-19,NULL,1,02:00,NULL
online,Analog Signals Network and Measurement Virtual Laboratory,DREAM INSTITUTE OF TECHNOLOGY KOLKATA,2016-09-07,NULL,1,02:00,NULL
online,Digital Electronic Circuits Laboratory,"Dream Institute of Technology, Kolkata",2016-09-07,37,1,02:00,10
online,Digital Signal Processing Virtual Laboratory,"Dream Institute of Technology, Kolkata West Bengal",2016-09-07,37,1,02:00,10
online,Analog Signals Network and Measurement Virtual Laboratory,"Dream Institute of Technology, Kolkata, West Bengal",2016-09-07,37,1,02:00,14
online,Analog Signals Network and Measurement Virtual Laboratory,"Dream Institute of Technology, Kolkata, West Bengal",2012-01-14,12,1,02:00,14
online,Computer Organisation and Architecture Virtual Laboratory,"NATIONAL INSTITUTE OF TECHNOLOGY, ROURKELA, ODISHA",2015-12-19,26,1,02:00,12
online,Analog Signals Network and Measurement Virtual Laboratory,"NATIONAL INSTITUTE OF TECHNOLOGY, ROURKELA, ODISHA",2015-12-19,26,1,02:00,14
online,Kinematics and Dynamics of Mechanism Laboratory,"NITTR,Salt Lake City, Kolkata",2015-02-27,11,1,02:00,27
online,Robotics Simulation Laboratory,"IIT Kharagpur,Kharagpur,West Bengal",2015-07-01,10,1,02:00,15
online,Digital Signal processing virtual laboratory,"MIT, Bishnupur, Bankura, West Bengal",2015-03-04,10,1,02:00,10
online,Digital Signal processing virtual laboratory,"BIT,Kolkata, West Bengal",2016-02-19,110,1,02:00,10
online,Digital Electronic Circuits Laboratory,"MIT, Bishnupur, Bankura, West Bengal",2015-03-04,10,1,02:00,10
online,Digital Electronic Circuits Laboratory,"BIT,Kolkata, West Bengal",2016-02-19,110,1,02:00,10
online,Computer Organisation and Architecture Virtual Laboratory,"NITTR,Salt Lake City, Kolkata",2015-02-27,18,1,02:00,12
online,Computer Organisation and Architecture Virtual Laboratory,"HIT,Hatiberia,Midnapore, Haldia, West Bengal",2016-10-19,57,1,02:00,56
online,SCIENT,Ranga Reddy,2016-10-22,60,2,02:30,1226
online,St Marys Integrated,Nalgonda,2017-02-11,100,2,02:30,1861
online,Abhinav Hi-Tech,Ranga Reddy,2016-10-28,60,2,02:30,780
online,St Marys Group,Nalgonda,2017-12-19,100,2,02:30,2073
online,Laqshya,Nalgonda,2016-12-13,100,2,02:30,100
online,Anurag,Nalgonda,2016-12-14,200,2,02:30,2947
online,Sri Venkateswara,Nalgonda,2016-03-28,100,2,02:30,100
online,Nalgonda Inst,Nalgonda,2016-12-16,110,2,02:30,1420
online,Swami Ramananda,Nalgonda,2016-12-17,50,2,02:30,620
online,Virtual Labs,"Anand Engineering College, Agra, Uttar Pradesh",2016-04-08,NULL,4,03:00,NULL
online,Virtual Labs,"Anand Engineering College, Agra, Uttar Pradesh",2016-04-08,NULL,4,02:00,NULL
online,Virtual Labs,"Dept of Mechanical Engineering, Anand Engineering College, Agra, Uttar Pradesh",2016-04-08,220,4,02:00,220
online,Virtual Labs,"Dept of Electrical Engineering, Anand Engineering College, Agra, Uttar Pradesh",2016-04-08,190,4,02:00,190
online,Virtual Labs,"Dept of Civil Engineering, Anand Engineering College, Agra, Uttar Pradesh",2016-04-08,160,4,01:30,160
online,Virtual Labs,"Dept of CSE, Anand Engineering College, Agra, Uttar Pradesh",2016-04-08,210,3,01:30,210
online,Virtual Labs,"Dept of ME, Hinsudtan College of Science and Technology, Farah, Mathura, Uttar Pradesh",2016-05-28,225,4,02:00,225
online,Virtual Labs,"Dept of EE, Hinsudtan College of Science and Technology, Farah, Mathura, Uttar Pradesh",2016-05-28,180,4,02:00,180
online,Virtual Labs,"Dept of CS, Hinsudtan College of Science and Technology, Farah, Mathura, Uttar Pradesh",2016-05-28,175,3,01:30,175
online,Virtual Labs,"Dept of Civil Engg, Hinsudtan College of Science and Technology, Farah, Mathura, Uttar Pradesh",2016-05-28,170,3,01:30,170
online,Virtual Labs,"Dept of ME, Faculty of Engineering and Technology, Agra, UP",2016-06-18,190,3,01:30,190
online,Virtual Labs,"Dept of EE, Faculty of Engineering and Technology, Agra, UP",2016-06-18,165,3,00:30,165
online,Virtual Labs,"Dept of EC, Faculty of Engineering and Technology, Agra, UP",2016-06-18,130,3,00:30,130
online,Virtual Labs,"Dept of CS, Faculty of Engineering and Technology, Agra",2016-06-18,180,4,00:30,180
online,Robotics Simulation Laboratory,"CEM,Kolaghat, West Bengal",2016-01-06,20,1,02:00,20
online,Virtual Lab Workshop,"BMS Institute of Technology, Bangalore, Karnataka, India",2016-10-18,204,7,01:00,14
online,Virtual Lab Workshop,"East West Institute of Technology, Bangalore, Karnataka, India",2016-10-19,268,7,01:00,14
online,Analog Signals Network and Measurement Virtual Laboratory,"HALDIA INSTITUTE OF TECHNOLOGY, HALDIA, WEST BENGAL, INDIA",2016-10-19,77,1,02:00,77
online,ADVANCED NETWORK TECHNOLOGIES,"HALDIA INSTITUTE OF TECHNOLOGY, HALDIA, WEST BENGAL, INDIA",2016-10-19,57,1,02:00,56
online,SOFTWARE ENGINEERING,"HALDIA INSTITUTE OF TECHNOLOGY, HALDIA, WEST BENGAL, INDIA",2016-10-19,57,1,02:00,56
online,PRSG,IIT Delhi,2016-10-19,50,5,00:50,0
online,IIT G PRSG,IIT G PRSG,2016-10-19,2,2,00:50,100
offline,VIrtual Lab Workshop,Kollam,2011-01-07,84,2,02:00,84
offline,IIT K,IIT Kanpur,2016-11-06,30,1,01:50,300
online,IIT K PRSG,IIT K PRSG,2016-10-19,NULL,5,00:50,NULL
online,IIT K PRSG,IIT K PRSG,2016-10-19,NULL,5,00:50,NULL
online,Dayalbagh PRSG,Dayalbagh PRSG,2016-10-19,40,5,00:50,67164
online,IIT KGP PRSG,IIT KGP PRSG,2016-10-19,40,5,00:50,267300
online,NITK PRSG,NITK,2016-10-19,40,5,00:50,123327
online,COEP PRSG,COEP,2016-10-19,40,5,00:50,1200
online,Analog Signals Network and Measurement Virtual Laboratory,"T For E Conference, IIT Kharagpur, Kharagpur, West Bengal",2013-12-18,27,3,02:00,25
online,Robotics Simulation Laboratory,"T For E Conference, IIT Kharagpur, Kharagpur, West Bengal",2013-12-18,27,3,02:00,27
online,Real Time Embedded Systems,"T For E Conference, IIT Kharagpur, Kharagpur, West Bengal",2013-12-18,27,3,02:00,27
online,Real Time Embedded Systems,KHARAGPUR,2014-01-07,38,1,02:00,14
online,Applied engineering physics,"Vishwakarma Institute of Technology, Pune",2016-10-21,288,8,00:15,288
online,One day workshop on virtual laboratry,"NIT Meghalay, Shillong",2016-11-04,NULL,1,03:00,NULL
online,One day workshop on virtual laboratry,"NIT Meghalay, Shillong",2016-11-04,100,1,03:00,5000
online,Workshop on Virtual Labs,College of engineering,2016-11-15,17,1,01:00,51
offline,IIT Kanpur,IIIT Allahabad,2016-11-15,65,1,01:30,650
offline,IIT Kanpur,CSJMU Kanpur,2016-10-22,291,2,01:50,6984
online,St Anns,Mehdipatnam,2016-10-27,50,1,02:00,526
online,SCIENT,Ibrahimpatnam,2016-10-22,60,1,02:30,1226
online,Workshop on Virtual Labs,College of engineering,2016-11-16,4,2,01:00,32
online,St Marys Group,Nalgonda,2017-12-20,100,2,02:30,100
online,St Marys,NALGONDA,2017-02-06,100,2,02:30,100
online,St Marys,NALGONDA,2017-02-08,50,2,02:30,50
online,St Marys I,NALGONDA,2017-02-09,200,2,02:30,200
online,virtual labs,hyderabad,2016-12-23,76,2,02:00,1224
online,virtual labs,chevella,2016-12-27,65,2,02:00,270
online,virtual labs,"nadergul,hyderabad",2016-12-28,99,2,02:00,1692
online,virtual labs,nadergul,2016-12-29,208,2,02:00,1105
online,virtual labs,chevella,2017-01-05,96,2,02:00,979
online,virtual labs,"ghatkesar,ranga reddy",2017-01-07,144,2,02:00,1289
online,virtual labs,peddapalli,2017-01-09,132,2,02:00,404
online,virtual labs,karimnagar,2017-01-10,98,2,02:00,543
online,virtual labs,karimnagar,2017-01-11,NULL,2,02:00,NULL
online,Ravi,IIIT Test,2017-01-20,110,2,02:00,100
online,virtual labs,ibrahimpatnam,2017-01-25,48,2,02:00,435
online,virtual labs,deshmukh,2017-02-06,69,2,02:00,400
online,virtual labs,deshmukh,2017-02-11,35,1,02:00,350
online,virtuallabs,deskmukh,2017-02-07,54,2,02:00,525
online,virtuallabs,desukh,2017-02-08,55,3,01:00,538
online,MITRC,"Alwar, Rajasthan",2017-02-09,200,2,02:00,100
online,Virtual Labs,"GLOBAL INSTITUTE OF MANAGEMENT AND EMERGING TECHNOLOGIES, Amritsar",2017-02-21,50,4,01:00,50
online,Virtual labs,"Jaypee University of Information Technology, Waknaghat, Solan",2017-02-28,50,4,01:00,50
online,virtuallabs,deshmukh,2017-02-09,50,1,02:00,461
online,virtual labs,deshmukh,2017-02-10,65,2,02:00,606
online,virtual labs,nizambad,2017-02-06,160,2,02:00,1302
online,virtual labs,deshmukh,2017-02-11,NULL,1,02:00,NULL
online,Virtual Lab workshop,"Roorkee College of Engineering ,Roorkee Uttarakhand",2016-10-05,93,4,02:00,2976
online,Virtual Lab workshop,"Tulas Institute of Engineering and Management, Dehradun, Uttarakhand",2016-10-07,166,4,02:00,2604
online,Virtual Lab workshop,"Northen India Engineering College, New Delhi",2016-10-14,221,4,02:00,7072
online,Virtual Lab workshop,"Jaypee University of Information Technology Solan, HP",2016-10-15,183,4,02:00,5856
online,Virtual Lab workshop,"North Eastern Hill University, Shillong Meghalaya",2016-10-25,120,4,02:00,3840
online,Virtual Lab workshop,"SIT Pithoragarh, Uttarakhand",2016-11-15,174,4,02:00,5568
online,Virtual Lab workshop,SRM University Lucknow Uttar Pradesh,2016-11-10,202,4,02:00,6464
online,Virtual Lab workshop,"Phonics Institute Roorkee, Uttarakhand",2016-11-28,71,4,02:00,2272
online,Virtual Lab workshop,"Sunderdeep Engineering College, Ghaziabad Uttar Pradesh",2017-02-01,61,4,02:00,1952
online,Virtual Lab workshop,"Quantum School of Technology, Roorkee, Uttarakhand",2017-04-04,38,4,02:00,152
online,Virtual Lab workshop,"SLIET, Longowal, punjab",2017-01-19,152,4,02:00,4864
online,virtual labs,hyderabad,2017-02-14,82,2,02:00,870
online,One Day Workshop on Virtual Laboratory,"Assam Engineering College, Guwahati",2017-02-15,70,1,03:00,3500
online,virtual labs,maboobnagar,2017-02-20,95,2,02:00,997
online,virtual labs,maboobnagar,2017-02-21,54,2,02:00,541
online,virtual labs,mahboobnagar,2017-02-22,107,2,02:00,925
online,virtual labs,mahboobnagar,2017-02-23,55,2,02:00,550
online,virtual labs,khammam,2017-02-21,62,2,02:00,620
online,virtual labs,khammam,2017-02-22,89,2,02:00,890
online,virtual labs,khammam,2017-02-23,11,1,02:00,110
online,virtual labs,khammam,2017-02-27,134,2,02:00,2200
online,virtual labs,khammam,2017-02-28,159,2,02:00,2700
online,virtual labs,khammam,2017-03-01,151,2,02:00,1200
online,virtual labs,khammam,2017-03-02,30,2,02:00,300
online,virtual labs,warangal,2017-02-27,74,2,02:00,1195
online,virtual labs,warangal,2017-02-28,118,2,02:00,1280
online,One Day Workshop on Virtual Laboratory,"Maulana Abul Kalam Azad University of Technology, West Bengal",2017-02-23,50,1,03:00,2500
online,College cloud at GMRIT,"Rajam, Srikakulam",2017-01-09,26,1,01:00,26
online,Online Vlabs at GMRIT,GMRIT,2017-01-10,108,1,01:00,108
offline,Virtual Lab workshop,Palakad,2014-12-22,33,2,02:00,33
offline,Virtual Lab Workshop,Coimbatore,2011-02-17,188,2,02:00,188
offline,Virtual Lab Workshop,Bangaluru,2011-02-18,49,2,02:00,49
offline,Virtual Lab Workshop,Kottayam,2011-02-11,864,2,02:00,864
offline,Virtual Lab Workshop,Kochi,2011-09-24,61,2,02:00,61
offline,Virtual Lab Workshop,Kollam,2012-01-05,122,2,02:00,122
offline,Virtual Lab Workshop,Ernakulam,2012-03-22,743,2,02:00,743
offline,Virtual Lab Workshop,Salem,2012-05-11,251,2,02:00,251
offline,Anokha - Mad Scientist Workshop,Coimbatore,2012-07-21,62,1,02:00,62
offline,Vidyut-Mad Scientist Workshop,Kollam,2012-02-03,24,1,02:00,24
online,Virtual Lab Workshop,Nashik,2013-12-14,159,1,02:00,159
online,Virtual Lab Workshop,Thiruvananthapuram,2013-08-14,42,1,02:00,42
online,Virtual Lab Workshop,Salem,2013-04-17,322,2,02:00,322
online,Virtual Lab Workshop,Nashik,2013-12-14,91,2,02:00,91
online,Virtual Lab Workshop,Bangaluru,2013-12-28,111,2,02:00,111
offline,Virtual Lab Workshop,Bhopal,2014-02-09,72,2,02:00,72
online,Virtual Lab Workshop,Kottayam,2014-11-12,71,1,02:00,71
online,Virtual Lab Workshop,Thrissur,2014-12-31,16,2,02:00,16
online,Virtual Lab Workshop,Pandalam,2015-02-27,113,2,02:00,113
online,Virtual Lab Workshop,Alappuzha,2015-03-08,42,1,02:00,42
online,Virtual Lab Workshop,Patna,2015-03-14,414,2,02:00,414
online,Virtual Lab Workshop,Kozhikode,2015-05-22,69,1,02:00,69
online,Virtual Lab Workshop,Nagercoil,2015-05-30,30,1,02:00,30
online,Virtual Lab Workshop,Ernakulam,2015-06-26,15,1,02:00,15
online,Virtual Lab Workshop,Tirunelveli,2015-06-30,96,2,02:00,96
online,Virtual Lab Workshop,Pathanamthitta,2016-02-25,203,2,02:00,203
online,Virtual Lab Workshop,Hyderabad,2016-06-06,31,2,02:00,31
online,Virtual Lab Workshop,Erode,2016-06-27,77,1,02:00,77
online,Virtual Lab Online,Chennai,2016-01-12,20871,21,02:00,20871
online,Virtual Lab Online,"BMS College of Engineering, Bangaluru",2016-07-13,31152,15,02:00,31152
online,Virtual Lab Online,"Sri Ramakrishna Engineering College, Coimbatore",2016-12-01,31151,14,02:00,31151
online,Virtual Lab Online,Kollam,2016-07-07,1208,4,02:00,1208
online,Virtual Lab Online,Rajkot,2016-12-30,19320,18,02:00,19320
online,Virtual Lab Online,Villupiram,2017-01-12,690,3,02:00,690
offline,Virtual Lab Workshop,"Srikakulam, Andhra Pradesh",2017-03-10,150,2,02:00,150
online,Virtual lab workshop,NIT Jalandhar Punjab,2017-02-08,293,4,02:00,9376
online,virtual labs,medchal,2017-03-07,22,2,02:00,218
online,Matrusri college cloud,Hyderabad,2017-02-27,0,1,01:00,0
online,Workshop on Virtual Labs,"College of Engineering, Pune",2017-02-16,22,6,02:00,672
online,Workshop on Virtual Labs,"College of Engineering, Pune",2017-03-02,19,4,02:00,380
online,Workshop on Virtual Labs,"College of Engineering, Pune",2017-03-07,10,3,02:00,150
online,Anurag RR,Ranga Reddy,2017-02-14,80,2,02:30,730
offline,Kshatriya,Nizamabad,2017-02-07,130,2,02:30,989
offline,VREC,Nizamabad,2017-02-08,76,2,02:30,1499
offline,Arkay,Nizamabad,2017-02-09,40,1,02:30,549
offline,Ellenki,Sangareddy,2017-02-17,85,2,02:30,563
online,RRS,Sangareddy,2017-02-18,49,1,02:30,675
online,SVS,Warangal,2017-02-22,90,2,02:30,1179
online,SVS2,Warangal,2017-02-23,85,2,02:30,1427
online,Virtual Lab Online,VMKV Engineering College Salem,2015-01-31,1852,30,02:00,1852
online,Virtual Lab Online,"Global Academy Of Technology, Bangalore",2015-02-21,3027,20,02:00,3027
online,Virtual Lab Online,"SN College, Kollam",2015-02-27,1329,22,02:00,1329
online,Virtual Lab Online,"NSS College, Cherthala",2015-03-08,294,4,02:00,294
online,Virtual Lab Online,"Assumption College, Changanasserry",2015-03-22,914,7,02:00,914
online,Virtual Lab Online,"Sri Ramakrishna Institute of Technology, Coimbatore",2015-04-06,980,8,02:00,980
online,Virtual Lab Online,"St Pauls College, Kalamassery",2015-04-19,1216,10,02:00,1216
online,Virtual Lab Online,S N College Chengannur,2015-05-21,341,2,02:00,341
online,Virtual Lab Online,TKMM College Nangiarkulangara,2015-06-12,940,2,02:00,940
online,Virtual Lab Online,Rajah Serfoji Government College Thanjavur,2015-06-20,346,2,02:00,346
online,Virtual Lab Online,MET Nashik,2015-06-30,777,4,02:00,777
online,Virtual Lab Online,K S Rangasamy College of Technology Tiruchengode,2015-07-10,344,2,02:00,344
online,Virtual Lab Online,"Jyothi Engineering College, Thrissur",2015-07-24,1496,10,02:00,1496
online,Virtual Lab Online,"Heera College of Engineering and Technology, Thiruvananthapuram",2015-08-07,727,2,02:00,727
online,Virtual Lab Online,"Government Science College, Chitradurga",2015-08-14,601,4,02:00,601
online,Virtual Lab Online,"Saintgits College Of Engineering, Kottayam",2015-08-28,19662,30,02:00,19662
online,Virtual Lab Online,"Aditya Institute Of Technology And Management, Tekkali",2015-09-18,2234,5,02:00,2234
online,Virtual Lab Online,"Dhanekula Institute of Engineering and Technology, Vijayawada",2015-10-16,2953,5,02:00,2953
online,Virtual Lab Online,"Marwadi Education Foundations Group of Institutions, Rajkot",2015-11-13,2647,25,02:00,2647
online,Virtual Lab Online,"SN College, Cherthala",2015-11-27,833,7,02:00,833
online,Virtual Lab Online,"CMS College, Kottayam",2015-11-30,141,2,02:00,141
online,Virtual Lab Online,"College of Engineering, Pathanapuram",2015-12-04,116,2,02:00,116
online,Virtual Lab Online,St Michaels College Cherthala,2015-12-11,259,2,02:00,259
online,Virtual Lab Online,MMNSS College Kottiyam,2015-12-18,610,3,02:00,610
online,Virtual Lab Online,"Sree Narayana Guru Institute of Science and Technology North Paravur, Ernakulam",2015-12-31,721,4,02:00,721
online,Virtual Lab Online,"Sri Shakthi Institute of Engineering and Technology, Coimbatore",2016-01-08,244,1,02:00,244
online,Virtual Lab Online,"MES College of Engineering, Kuttippuram",2016-01-15,881,4,02:00,881
